
           ####      G N O M             Version 5.0 (r10552)      ####
                                               Fri Apr  3 10:15:19 2020

           ####      Configuration                                 ####

    System Type:                   arbitrary monodisperse (job = 0)
    Minimum characteristic size:         0.0000
    Maximum characteristic size:        88.0000
    rad56:                               0.0000
    Force 0.0 at r = rmin:                  yes
    Force 0.0 at r = rmax:                  yes
    Initial alpha:                       0.0000
    Initial random seed:    4636819557908547294
    Points in real space:                   171

    Input  1:                      tmpcS28ND.dat
    First data point used:                    1
    Last data point used:                   217
    Scaling coefficient:             0.1000E+01
    Experimental setup:            point collimation



           ####      Results                                       ####

    Parameter    DISCRP  OSCILL  STABIL  SYSDEV  POSITV  VALCEN  SMOOTH
    Weight        1.000   3.000   3.000   3.000   1.000   1.000   1.000
    Sigma         0.300   0.600   0.120   0.120   0.120   0.120   0.600
    Ideal         0.700   1.100   0.000   1.000   1.000   0.950   0.000
    Current       0.928   1.233   0.008   0.972   1.000   0.937   0.493
               --------------------------------------------------------
    Estimate      0.561   0.952   0.995   1.000   1.000   0.989   0.509

    Angular range:                       0.0107 to       0.2989
    Reciprocal space Rg:             0.2828E+02
    Reciprocal space I(0):           0.1348E-01

    Real space range:                    0.0000 to      88.0000
    Real space Rg:                   0.2827E+02 +-   0.1398E+00
    Real space I(0):                 0.1348E-01 +-   0.6839E-04

    Highest ALPHA (theor):           0.3560E+04
    Current ALPHA:                   0.1012E+02

    Total Estimate:                      0.9154 (a EXCELLENT solution)



           ####      Experimental Data and Fit                     ####

      S          J EXP       ERROR       J REG       I REG
   0.828550E-01   0.220477E-02   0.601092E-04   0.217208E-02   0.217208E-02
   0.841911E-01   0.210092E-02   0.601005E-04   0.205219E-02   0.205219E-02
   0.855271E-01   0.187881E-02   0.557189E-04   0.193793E-02   0.193793E-02
   0.868631E-01   0.193028E-02   0.601079E-04   0.182918E-02   0.182918E-02
   0.881991E-01   0.166923E-02   0.566323E-04   0.172583E-02   0.172583E-02
   0.895351E-01   0.157426E-02   0.546475E-04   0.162775E-02   0.162775E-02
   0.908711E-01   0.163240E-02   0.601041E-04   0.153478E-02   0.153478E-02
   0.922070E-01   0.149009E-02   0.563334E-04   0.144680E-02   0.144680E-02
   0.935429E-01   0.137783E-02   0.586658E-04   0.136364E-02   0.136364E-02
   0.948789E-01   0.136986E-02   0.576875E-04   0.128514E-02   0.128514E-02
   0.962148E-01   0.116696E-02   0.514216E-04   0.121115E-02   0.121115E-02
   0.975506E-01   0.119879E-02   0.540507E-04   0.114148E-02   0.114148E-02
   0.988865E-01   0.974260E-03   0.480794E-04   0.107599E-02   0.107599E-02
   0.100222E+00   0.109137E-02   0.584293E-04   0.101449E-02   0.101449E-02
   0.101558E+00   0.926934E-03   0.480313E-04   0.956815E-03   0.956815E-03
   0.102894E+00   0.982649E-03   0.554497E-04   0.902793E-03   0.902793E-03
   0.104230E+00   0.867047E-03   0.517905E-04   0.852255E-03   0.852255E-03
   0.105566E+00   0.809251E-03   0.461930E-04   0.805030E-03   0.805030E-03
   0.106901E+00   0.718791E-03   0.469998E-04   0.760953E-03   0.760953E-03
   0.108237E+00   0.743991E-03   0.454320E-04   0.719858E-03   0.719858E-03
   0.109573E+00   0.579887E-03   0.425283E-04   0.681585E-03   0.681585E-03
   0.110908E+00   0.586398E-03   0.446620E-04   0.645975E-03   0.645975E-03
   0.112244E+00   0.669684E-03   0.442864E-04   0.612875E-03   0.612875E-03
   0.113580E+00   0.557120E-03   0.413621E-04   0.582135E-03   0.582135E-03
   0.114915E+00   0.539008E-03   0.486236E-04   0.553610E-03   0.553610E-03
   0.116251E+00   0.576504E-03   0.437454E-04   0.527161E-03   0.527161E-03
   0.117587E+00   0.509694E-03   0.384958E-04   0.502652E-03   0.502652E-03
   0.118922E+00   0.433408E-03   0.350229E-04   0.479955E-03   0.479955E-03
   0.120258E+00   0.414784E-03   0.390514E-04   0.458944E-03   0.458944E-03
   0.121593E+00   0.360144E-03   0.396606E-04   0.439502E-03   0.439502E-03
   0.122929E+00   0.473447E-03   0.421797E-04   0.421515E-03   0.421515E-03
   0.124264E+00   0.329587E-03   0.303206E-04   0.404877E-03   0.404877E-03
   0.125600E+00   0.417298E-03   0.409638E-04   0.389484E-03   0.389484E-03
   0.126935E+00   0.364844E-03   0.396511E-04   0.375241E-03   0.375241E-03
   0.128270E+00   0.423335E-03   0.464271E-04   0.362057E-03   0.362057E-03
   0.129606E+00   0.324824E-03   0.382284E-04   0.349846E-03   0.349846E-03
   0.130941E+00   0.384442E-03   0.469601E-04   0.338528E-03   0.338528E-03
   0.132276E+00   0.315132E-03   0.314626E-04   0.328028E-03   0.328028E-03
   0.133612E+00   0.372195E-03   0.572175E-04   0.318276E-03   0.318276E-03
   0.134947E+00   0.367863E-03   0.527901E-04   0.309205E-03   0.309205E-03
   0.136282E+00   0.308206E-03   0.376589E-04   0.300755E-03   0.300755E-03
   0.137618E+00   0.231888E-03   0.350389E-04   0.292870E-03   0.292870E-03
   0.138953E+00   0.354420E-03   0.318853E-04   0.285497E-03   0.285497E-03
   0.140288E+00   0.282778E-03   0.313999E-04   0.278586E-03   0.278586E-03
   0.141623E+00   0.260241E-03   0.391926E-04   0.272095E-03   0.272095E-03
   0.142958E+00   0.232237E-03   0.318875E-04   0.265982E-03   0.265982E-03
   0.144293E+00   0.261689E-03   0.370701E-04   0.260208E-03   0.260208E-03
   0.145628E+00   0.254936E-03   0.345696E-04   0.254740E-03   0.254740E-03
   0.146963E+00   0.220337E-03   0.400698E-04   0.249546E-03   0.249546E-03
   0.148298E+00   0.178126E-03   0.248375E-04   0.244597E-03   0.244597E-03
   0.149633E+00   0.258017E-03   0.329798E-04   0.239867E-03   0.239867E-03
   0.150968E+00   0.272065E-03   0.443021E-04   0.235331E-03   0.235331E-03
   0.152303E+00   0.206117E-03   0.323812E-04   0.230969E-03   0.230969E-03
   0.153638E+00   0.144357E-03   0.421400E-04   0.226761E-03   0.226761E-03
   0.154973E+00   0.237846E-03   0.289931E-04   0.222690E-03   0.222690E-03
   0.156308E+00   0.306350E-03   0.395802E-04   0.218738E-03   0.218738E-03
   0.157643E+00   0.249229E-03   0.318054E-04   0.214892E-03   0.214892E-03
   0.158978E+00   0.252414E-03   0.277133E-04   0.211140E-03   0.211140E-03
   0.160312E+00   0.163603E-03   0.677076E-03   0.207469E-03   0.207469E-03
   0.161647E+00   0.276786E-03   0.335127E-04   0.203871E-03   0.203871E-03
   0.162982E+00   0.187274E-03   0.892243E-04   0.200335E-03   0.200335E-03
   0.164317E+00   0.206957E-03   0.566308E-04   0.196853E-03   0.196853E-03
   0.165651E+00   0.150651E-03   0.264793E-04   0.193420E-03   0.193420E-03
   0.166986E+00   0.222677E-03   0.376324E-04   0.190029E-03   0.190029E-03
   0.168320E+00   0.191663E-03   0.260633E-04   0.186675E-03   0.186675E-03
   0.169655E+00   0.174570E-03   0.323971E-04   0.183353E-03   0.183353E-03
   0.170989E+00   0.154625E-03   0.387369E-04   0.180060E-03   0.180060E-03
   0.172324E+00   0.165426E-03   0.445730E-04   0.176793E-03   0.176793E-03
   0.173658E+00   0.158616E-03   0.345622E-04   0.173549E-03   0.173549E-03
   0.174993E+00   0.148392E-03   0.291826E-04   0.170327E-03   0.170327E-03
   0.176327E+00   0.174452E-03   0.275116E-04   0.167125E-03   0.167125E-03
   0.177662E+00   0.155913E-03   0.363421E-04   0.163943E-03   0.163943E-03
   0.178996E+00   0.143657E-03   0.310530E-04   0.160780E-03   0.160780E-03
   0.180330E+00   0.157033E-03   0.985569E-04   0.157636E-03   0.157636E-03
   0.181665E+00   0.176031E-03   0.236265E-04   0.154513E-03   0.154513E-03
   0.182999E+00   0.136617E-03   0.231238E-04   0.151409E-03   0.151409E-03
   0.184333E+00   0.148182E-03   0.340763E-04   0.148328E-03   0.148328E-03
   0.185667E+00   0.162704E-03   0.308687E-04   0.145271E-03   0.145271E-03
   0.187001E+00   0.217027E-03   0.373028E-04   0.142238E-03   0.142238E-03
   0.188335E+00   0.134447E-03   0.449382E-04   0.139233E-03   0.139233E-03
   0.189669E+00   0.131062E-03   0.339519E-04   0.136256E-03   0.136256E-03
   0.191003E+00   0.135524E-03   0.311609E-04   0.133312E-03   0.133312E-03
   0.192337E+00   0.148287E-03   0.417905E-04   0.130402E-03   0.130402E-03
   0.193671E+00   0.113778E-03   0.597149E-04   0.127529E-03   0.127529E-03
   0.195005E+00   0.121342E-03   0.305040E-04   0.124695E-03   0.124695E-03
   0.196339E+00   0.180181E-03   0.421925E-04   0.121904E-03   0.121904E-03
   0.197673E+00   0.150227E-03   0.336285E-04   0.119158E-03   0.119158E-03
   0.199007E+00   0.662210E-04   0.253722E-04   0.116461E-03   0.116461E-03
   0.200341E+00   0.754301E-04   0.304993E-04   0.113815E-03   0.113815E-03
   0.201674E+00   0.838383E-04   0.555331E-04   0.111222E-03   0.111222E-03
   0.203008E+00   0.112642E-03   0.158512E-03   0.108686E-03   0.108686E-03
   0.204342E+00   0.740508E-04   0.310930E-04   0.106209E-03   0.106209E-03
   0.205675E+00   0.165197E-03   0.315738E-04   0.103794E-03   0.103794E-03
   0.207009E+00   0.120079E-03   0.645883E-04   0.101442E-03   0.101442E-03
   0.208342E+00   0.124993E-03   0.472385E-04   0.991566E-04   0.991566E-04
   0.209676E+00   0.317029E-04   0.893871E-04   0.969385E-04   0.969385E-04
   0.211009E+00   0.161412E-03   0.353372E-03   0.947897E-04   0.947897E-04
   0.212343E+00   0.803753E-04   0.345402E-04   0.927117E-04   0.927117E-04
   0.213676E+00   0.616959E-04   0.361940E-04   0.907050E-04   0.907050E-04
   0.215010E+00   0.172320E-04   0.311911E-04   0.887721E-04   0.887721E-04
   0.216343E+00   0.893967E-04   0.230029E-04   0.869118E-04   0.869118E-04
   0.217676E+00   0.108370E-03   0.306314E-04   0.851252E-04   0.851252E-04
   0.219009E+00   0.152159E-03   0.422992E-04   0.834121E-04   0.834121E-04
   0.220343E+00   0.987302E-04   0.289924E-04   0.817723E-04   0.817723E-04
   0.221676E+00   0.996656E-04   0.163017E-03   0.802051E-04   0.802051E-04
   0.223009E+00   0.860600E-04   0.221306E-04   0.787098E-04   0.787098E-04
   0.224342E+00   0.114315E-03   0.859129E-04   0.772851E-04   0.772851E-04
   0.225675E+00   0.820125E-04   0.639376E-04   0.759295E-04   0.759295E-04
   0.227008E+00   0.583704E-04   0.579608E-04   0.746416E-04   0.746416E-04
   0.228341E+00   0.370899E-04   0.242639E-04   0.734193E-04   0.734193E-04
   0.229674E+00   0.112102E-03   0.304308E-04   0.722605E-04   0.722605E-04
   0.231007E+00   0.108110E-03   0.385811E-04   0.711629E-04   0.711629E-04
   0.232340E+00   0.517086E-04   0.290385E-04   0.701239E-04   0.701239E-04
   0.233672E+00   0.269484E-04   0.272122E-04   0.691413E-04   0.691413E-04
   0.235005E+00   0.323843E-04   0.812106E-03   0.682111E-04   0.682111E-04
   0.236338E+00   0.614795E-04   0.240034E-03   0.673315E-04   0.673315E-04
   0.237670E+00   0.848754E-04   0.363791E-04   0.664992E-04   0.664992E-04
   0.239003E+00   0.676969E-04   0.226608E-04   0.657109E-04   0.657109E-04
   0.240336E+00   0.923002E-04   0.356460E-04   0.649640E-04   0.649640E-04
   0.241668E+00   0.493862E-04   0.264484E-04   0.642549E-04   0.642549E-04
   0.243001E+00   0.261260E-05   0.554716E-04   0.635806E-04   0.635806E-04
   0.244333E+00   0.784400E-04   0.517651E-04   0.629382E-04   0.629382E-04
   0.245665E+00   0.112185E-03   0.396502E-04   0.623246E-04   0.623246E-04
   0.246998E+00   0.385681E-04   0.325951E-04   0.617369E-04   0.617369E-04
   0.248330E+00   0.540335E-04   0.346982E-04   0.611723E-04   0.611723E-04
   0.249662E+00   0.686139E-04   0.292770E-04   0.606282E-04   0.606282E-04
